masked_words|abs_decrease_on_replacement
kpop|1.0
paired|1.0
thighs|1.0
disgrace-without|1.0
caged|1.0
seen.liberals|1.0
dirtbag|1.0
segments|1.0
dinosaur|1.0
healing|1.0
testosterone|1.0
tessyfiy|1.0
dignify|1.0
dickhead|1.0
hell-|1.0
detriment|1.0
2sec|1.0
oshaeterry|1.0
destriment|1.0
shadowbanned|1.0
27.|1.0
.maga|1.0
keepinghis|1.0
hol|1.0
keen|1.0
tbey|1.0
tatas|1.0
shedevil|1.0
wednesdays|1.0
kavanaughscotus|1.0
animalcruelty|1.0
monologue|1.0
knighthood|1.0
peanut|1.0
butt💝|1.0
butt-hurt|1.0
aikido|1.0
bankroll|1.0
golan|1.0
left/dems|1.0
edd|1.0
ecstasy|1.0
duuuueerrrrhhh|1.0
roses|1.0
alaye|1.0
•build|1.0
toadstool|1.0
pigeons|1.0
tihnks|1.0
thx|1.0
droves|1.0
midnight|1.0
lamebotas|1.0
whoring|1.0
perverts|1.0
perverse|1.0
same-trash|1.0
personified|1.0
bunk|1.0
urinating|1.0
handcuffs|1.0
usa_flag_4u|1.0
votethemout2018|1.0
miriam|1.0
whiff|1.0
hooch|1.0
hoppe-|1.0
rhino|1.0
starbucks|1.0
culo|1.0
waltzing|1.0
jahs|1.0
immigrantion|1.0
snead|1.0
wal|1.0
itch|1.0
inaction|1.0
naziism|1.0
inadequate|1.0
😁telesmokacatin|1.0
nuclearfamily|1.0
indifferent|1.0
soul—all|1.0
infinitely|1.0
kappa|1.0
🖕them|1.0
volts|1.0
nerd|1.0
nooooo|1.0
spartan|1.0
nominatin|1.0
conservatards|1.0
nexit|1.0
cooked|1.0
nfw|1.0
installed|1.0
spreadsheets|1.0
control/anti-2a|1.0
contest|1.0
cunts|1.0
ijustdontseemyself|1.0
cuter|1.0
slapping|1.0
takendted|1.0
taeyoun|1.0
jv|1.0
switzerland|1.0
motherfuckers|1.0
shitgull|1.0
chocker|1.0
shithouse|1.0
shitposts|1.0
christi|1.0
chuckschumer|1.0
shitted/shat|1.0
shitttt|1.0
weaklings|1.0
defo|1.0
