masked_words|abs_decrease_on_replacement
fuck-|0.7323209185692048
shit.all|0.6278024165819742
idiot🤡😡|0.6210762694228136
gale|0.6083529048218004
shook|0.6028286681344209
snob|0.5936918712539688
butt-hurt|0.5914002969205008
arcane|0.5913267785301681
slowing|0.5910946691504885
iv|0.5873737837475634
nigga👀|0.5545940668738398
battlefield|0.5392689392858173
js|0.5326927050932497
rean|0.5303439181177063
'shitty|0.5166498239867111
butt💝|0.5156018448204849
bitch|0.504756627326979
shit|0.4553515428849596
'porn|0.45243285439579317
spicoli|0.4521362009053159
fuck|0.4441873650939513
hell-bent|0.44032434289709554
shit-smear|0.43514635355409015
sucks|0.4342016302901455
fuckin'dead|0.4324271750588144
shit-|0.43242579349350496
fairways|0.43005405007622544
floss|0.4193486884890686
nigga|0.41499442456760877
shitcago|0.4072528065029687
rhonda|0.40597443824478513
psychiatrist|0.4020660080742936
idiots|0.4016437688425943
life-or-death|0.40130495504587377
racism-bullshit|0.3946723681995188
whoaaa|0.3922110978771357
fuuun|0.3873088700866035
shitty|0.3870040465953965
bitches|0.38313528492903887
soooooounds|0.38091231910053097
fucking|0.3780664232487881
rentals|0.37568579722624296
thinkin|0.3755839207734008
butt|0.36817708789939113
dcrats|0.36136216401596827
shitheads|0.35969960297346404
crook|0.3550429667326684
hijack|0.35113021242179865
est|0.33847014869684344
hell-|0.3325168919847395
idiot|0.328014496272038
stupid|0.32758614368616285
ack|0.324599565605818
😝|0.3243435069681774
asshole|0.3238640450354538
ass|0.32235858619258445
medi-care|0.3203507892440595
universally-unwanted|0.3153533777698599
bitten|0.3151490919805201
ashole|0.3141970442445607
fucked|0.3117676784155443
shits|0.31050197261550805
bullshit|0.31000452585807037
liberals/corrupt|0.3083337147789898
pro-nazi|0.30556435293845685
sheldmaidens|0.3050237501949553
end.despicable|0.3034197032576536
nasty|0.3027697693424691
apple/jacks|0.3024304009859971
toilet|0.3007041002158958
kinky|0.30059052735034436
disgrace-without|0.29669720138667616
ode|0.29646077710486846
fucker|0.2950356210596456
cher|0.2919787277993135
disgusting|0.2913402035219692
fake/lie|0.290532386060084
self-deprecating|0.28994652237080787
cealrly|0.2890413763445737
pussy|0.28900557748858186
wench|0.2884749637944184
crap|0.2877654161833214
dumbest|0.28731718353861724
tommyvalhalla|0.28600968247113223
niggas|0.2858643492092457
rabbi|0.28547512572690137
rhino|0.28527396765265933
starlet|0.28507709689710703
abso-fucking-lutely|0.28369252747095236
gay/lesbian|0.27838007660826014
swore|0.27829771154812166
boobs|0.27631522992115715
associate|0.27603186126357626
same-trash|0.2751668646987324
brighter|0.2738613186781254
geno|0.27355564623265405
shitting|0.2708307671054975
shitted/shat|0.26935982281084553
shit.✊|0.26874531644210137
fuckin|0.2672377620699515
assholes|0.26720319607980264
dumb|0.2662330381192193
folk|0.26495141754700735
worded|0.2613923338977335
porn|0.2590834470655822
self-hate|0.2587503541871506
anti-suicide|0.2553140401488897
bullies|0.25510203299012874
liar|0.2545628613734242
jeezuz.fucking.christ|0.2543406044118027
dem/con|0.25351702064750387
bastards|0.2514803658159481
cockroach|0.250726388680805
fatty|0.2502922285875102
traitor|0.24932568894374915
dry-humping|0.2492996845849425
marcy|0.24654090397505685
xenoblade|0.24506072926074954
ocd|0.24387685486431443
half-idiot|0.24243533068866427
nerd|0.24171843703658175
coward|0.2414142496924553
tits|0.24125843445961426
ancestors|0.24105345042004142
dementia|0.2394305198772846
silly|0.2390013326243456
biochem|0.2384962514441089
lolol|0.2372930998174473
glasses|0.2368075434146068
chicken😂|0.23679322810536788
shitttt|0.23564140551397988
💦|0.23491008222058266
ignorant|0.23415184958364407
proisrael|0.23345680599398216
ugly|0.23306218930603162
moron|0.2330335132043052
sex|0.23186217465480222
fascist|0.23177746256688772
tays|0.23084667519163146
carrey|0.23077974309667582
inaction|0.23042584728571014
101|0.23010127519279683
dumber|0.22998712712844135
dogs.🐕|0.2297837044643412
