masked_words|abs_decrease_on_replacement
distracted|0.7112327398271521
escaping|0.7100266951011569
gay/tg|0.697423026691335
pit|0.6934476937190067
photos|0.6743599964946183
climbed|0.6550527205488665
siblings|0.6288930819440657
momma|0.5662767527716663
skunk-ape|0.5381263048287062
moves|0.5082294740455353
sereve|0.4870922064091861
sea-men|0.47492575318876734
karvictho|0.4321227692245155
privileges|0.41057082779653464
looting|0.41057082779653464
climb|0.41057082779653464
lil|0.41057082779653464
deaths|0.41057082779653464
to.d|0.41057082779653464
impeaching|0.3908347687940789
sinks|0.3789629395985775
mooch|0.3669211214423229
cellmate|0.36475654218535164
obligated|0.36307908410456413
tarzans|0.35529744602159685
beast|0.34515052479899033
chambers|0.3449902744003701
session|0.33814303575744376
christmas|0.33508856792175507
btw|0.3329128340439402
woof|0.32626234274255117
assume|0.3231730292061735
thankfully|0.3220817637434682
expel|0.3169567119762843
musiims|0.3156004444522041
azzkicking|0.3137343551589127
thinking/acting|0.31125425225696357
linebacker|0.310690453010694
hood|0.3088289390520813
trabjo|0.297145397123982
picked|0.2934685042406248
pedo|0.2933977941798725
hillry|0.2929902223658113
phoenix|0.29249416708556436
bolt|0.29155539753156456
'straight|0.29084070163065984
loon|0.28843000390856444
opporiturity|0.28694668644330523
anti-semites|0.28403480660465874
cervesa|0.2834773611710685
likes|0.27998955241112206
mowing|0.2752329418457028
glock|0.2717398667883777
wellsaid|0.2717398667883777
agreed|0.2717398667883777
hahahahahahahahahahahahahahahaha|0.2717398667883777
fblm|0.27053783758515376
versa|0.2684371454905135
strap|0.26726635995259096
wiping|0.26510929410601
glacier|0.26250002647847087
scary|0.2604804561693607
beg|0.2596923711207135
stillare|0.25905029916516853
buttsex|0.25669055336998514
muslims|0.2557921281143881
consumption|0.25572419642939687
abortion|0.25519319446049366
auxiliary|0.2522190379461705
oxymoron|0.25204527543055977
cotton|0.24925615907627127
da|0.24925615907627127
obese|0.24665449564381142
dim|0.24647661131015813
esther|0.24622726887605434
push|0.2461419547710944
thirty|0.24410156090795532
wedlock|0.24254689105990007
freloaders|0.24178110192741617
fence-climbing|0.24148094560548988
marriage|0.23891767347370713
hauls|0.23859886281572457
femanazis|0.23847703740760987
tramp|0.23414876313848554
swiping|0.23401662755056224
efen|0.23358176255619584
vacate|0.23127072677113106
mamma|0.23103236317598536
founder|0.22961342220015415
transparent|0.22919547343012234
transformation|0.22547296289287594
suprisied|0.225228595642871
michael|0.2243794128669209
arabic|0.22420059024457376
empathize|0.2237002522299802
pro|0.2220028598411377
aunt|0.22087384738396193
phobic|0.2190267331175253
buffalo|0.2181867595210255
grinch|0.21721339308653018
anti-white|0.21681788470648428
irs|0.21396494371739552
eaten|0.21328368688087615
muzzy|0.21267573879171922
effluence|0.21234989845869875
option|0.21214795358723104
aborted|0.21140381651588852
wookie|0.20921592795207333
cancer|0.20595659249865736
able-bodied|0.20569815835135472
blamed|0.20537684531612688
occupied|0.20528541389826732
neighborhood|0.20528541389826732
gift|0.20403694493304858
civilize|0.2039743976274134
agricultural|0.2034639379114765
tg|0.20307941390641543
stole|0.20203363661531393
'african|0.20115669007498896
settle|0.20072605347621666
eeoc|0.20031211270245394
runs|0.20011568507341324
mentioning|0.20010073905774473
spoke|0.19977861117439605
shared|0.19935439563741914
bullets|0.19906932825649934
hildabeeste|0.19888281206696928
caliphate|0.1987274409290836
moochelle|0.19594519788169112
affected|0.19543360357015838
dirtier|0.19543360357015838
despotic|0.19543360357015838
hetero|0.19424444829065576
monica|0.19343976589506232
moooooochel|0.1930998787132808
firlmy|0.1920448750322547
lewinski|0.19199779250524135
lace|0.190148277228568
chattel|0.19003345418036438
isnt|0.18907120915592002
desperately|0.18844009014874866
gotrumpforamerica|0.18752223102810328
trouble|0.18638195634057145
board|0.18625034856904224
lazy|0.1850809853166731
perfect|0.18357840285011304
oils|0.18231989802324428
dummycrap|0.18203549445481232
rufus|0.18160509917558856
chico|0.181207213990699
olympic|0.1811703487137194
slap|0.17976458252157249
liebrals|0.1795151243410942
distinguish|0.17917617323323026
third|0.1782089570603618
novelist|0.17759564251124918
complying|0.17727658807609603
vice|0.17660320943851388
languages|0.17602649628852723
bitter|0.17426523916609546
ur|0.17390588207387306
fu_kin|0.17143917891007393
freebies|0.17055937048926378
serving|0.1698208920840897
airplanes|0.167766213725351
spoken|0.1667633349189172
qeerbarge|0.16500543423522362
hrs|0.1642137042042036
kneegrows|0.16241410614380902
strange|0.1615335264489004
outrun|0.1609476632126806
7.62|0.15904896157159512
boats|0.15862060085225238
ethnicity|0.15767370906084915
gas|0.15706541505328658
gladly|0.1562059055993314
blackasses|0.15341952333240422
checked|0.15135995535880226
39|0.15076065063390637
handle|0.1500300845103077
panthers|0.14950771949640587
envy|0.14910464079210622
dark|0.14671327508330897
boarding|0.14631787168483126
dummycraps|0.14610648876170207
loose|0.14587120238963655
differ|0.14419628923473568
stories|0.1439353540339143
integration|0.1427922262760825
resemblance|0.14271613260403468
fairy|0.14167271677777907
stayed|0.1409628890413528
madame|0.14064115204476887
habit|0.13961117390537778
