masked_words|abs_decrease_on_replacement
cussing|0.9999999999998428
piece|0.9999999999964123
independence|0.99999999994318
minus|0.99999999994318
admin|0.99999999994318
blight|0.99999999994318
tyrannical|0.99999999994318
tyranny|0.99999999994318
oppression|0.99999999994318
debates|0.9999999999357934
enforces|0.9999999999287364
willingness|0.9999999998848889
sovereignty|0.9999999975414011
suburbs|0.9999999915100386
rebelling|0.9999999915100386
residence|0.9999999915100386
anytime|0.9999999915100386
weeks|0.9999999915100386
regulations|0.9999999915100386
possessions|0.9999999915100386
values|0.9999999915100386
easiest|0.9999999915100386
holidays|0.9999999915100386
beautiful|0.9999999749497966
mound|0.9999999749496888
pleasure|0.9999999749496802
haunted|0.9999999749496802
defection|0.9999999749496802
bone|0.9999999749496802
prejudice|0.9999999749496802
haunt|0.9999999749496802
sermon|0.9999999749496397
martin|0.9999999749494556
channels|0.9999999749492563
luther|0.9999999749492297
betray|0.9999999749437407
deride|0.999999974941794
neck|0.9999999749339384
guise|0.9999999749184851
deneen|0.9999999744769937
mature|0.9999999353427237
minting|0.9999998510743788
nail|0.9999978890347251
hypocrites|0.9999858968641939
insulting|0.9999780827224682
shadows|0.9999695817546039
predates|0.9999485624928187
philadelphia|0.9997827752194173
obsessive|0.9996182881126906
ticking|0.9995166144372336
oldest|0.9975232068248052
poverty|0.9965268979783193
hypocrisy|0.9957142158219916
videos|0.992773172996398
surprises|0.9907538159873368
2000.|0.9875093807219931
ignorance|0.9844144435262185
bitter|0.9830053853747114
pedo|0.980782455822229
leaches|0.9752024581776844
powers…|0.9714431919893844
memorial|0.9398764649372952
sea-men|0.9387474769782743
efficiently|0.9324081237995199
diseases/disorders|0.9308366147695981
troops|0.9277318963325065
clown|0.9275594248560667
patrolling|0.9003457443273037
surrendered|0.9000000352449989
satan|0.8985006504317233
mass|0.8309893032360076
anti-gay|0.8087968649467013
lincoln|0.806571721573825
playbook|0.8010344451604304
crumbling|0.8000047086029094
fifth-grader|0.7999828397877815
unites|0.7991170061522727
dumping|0.7988818943238766
patient|0.7980399562534111
wipe|0.7965612013074688
currency|0.7712818381841938
fought|0.7655065817089892
mowing|0.757170451804718
losing|0.7501362962579501
cooking|0.7421425027232568
traitor|0.7190664838114814
battle|0.7137616806939691
incoming|0.7134062946996315
operate|0.7004853035741821
devil|0.6854625440277682
intellectuals|0.6773873569404883
separately|0.6740716747376203
avoid|0.6666666612078059
wan|0.6454496900573531
contributed|0.6447301621664192
thugs|0.6430026413167089
lazy|0.6395486746951187
grave|0.637361577775119
myths|0.6372066196918704
bobbling|0.6232530651525949
phony|0.6128986276558734
dare|0.6124048708431861
fourth|0.6054649178618752
heritage|0.5999999954835127
trash|0.5999871608977239
ancestors|0.5990702287351343
raping|0.5975259513509157
fran|0.595607345697438
cancer|0.5935520705750801
drinking|0.5914155833622183
correctly|0.5912215946122561
main|0.587465420664463
authority|0.5872636696088647
spouting|0.5843748530002765
pe|0.5828673381537162
jv|0.570258558532232
embarrassment|0.5676311992300709
sitting|0.5596107976910751
possessed|0.5591692897533698
wash|0.5346276105575375
lemmings|0.5307800552274384
russell|0.5305437783007723
sick|0.5279859133933815
molested|0.5252107194759048
victimize|0.5242293651297351
war|0.5202949589586592
meth|0.5165165399401307
disgusting|0.5132819679856733
shove|0.5096353635452593
cells|0.503538949441156
crap|0.5001267371692888
dreams|0.5000008591508114
activists|0.5000000439895038
pocket|0.500000013760296
formed|0.500000007989312
southerners|0.5000000000002798
dictate|0.49999999997159
forcing|0.4999999957550324
daily|0.49999999575501936
north|0.49999999575501936
attached|0.4999999957550193
displayed|0.4999999957550193
abolish|0.4999999957550193
street|0.4999999957550193
